['48.860987#2.295466#0', '48.859027#2.298116#0'] 
['48.860987#2.295466#0', '48.861759#2.335872#0'] 
['48.858355#2.291549#0', '48.859429#2.293169#0'] 
['48.858355#2.291549#0', '48.862169#2.288817#0'] 
['48.858355#2.291549#0', '48.858081#2.294634#0'] 
['48.858355#2.291549#0', '48.859027#2.298116#0'] 
['48.842853#2.369621#1', '48.840740#2.370283#1'] 
['48.856901#2.303104#1', '48.858081#2.294634#1'] 
['48.856901#2.303104#1', '48.861759#2.335872#1'] 
['48.856901#2.303104#1', '48.859027#2.298116#1'] 
['48.841819#2.355711#0', '48.843469#2.359756#0'] 
['48.866134#2.296512#1', '48.864270#2.296871#1'] 
['48.856318#2.368044#1', '48.856445#2.365243#1'] 
['48.860866#2.356954#0', '48.870558#2.357407#1'] 
['48.888112#2.334758#1', '48.886968#2.340812#1'] 
['48.888112#2.334758#1', '48.886454#2.343009#1'] 
['48.845033#2.373236#1', '48.856714#2.350973#1'] 
['48.856318#2.368044#0', '48.856445#2.365243#0'] 
['48.847963#2.325934#1', '48.850773#2.324563#1'] 
['48.891482#2.237907#1', '48.892031#2.236049#1'] 
['48.859647#2.313108#1', '48.855104#2.312079#1'] 
['48.859647#2.313108#1', '48.863477#2.313458#1'] 
['48.859647#2.313108#1', '48.861759#2.335872#1'] 
['48.859647#2.313108#1', '48.859027#2.298116#1'] 
['48.805341#2.120563#1', '48.804037#2.123905#1'] 
['48.805341#2.120563#1', '48.861759#2.335872#1'] 
['48.849201#2.339959#1', '48.846921#2.337693#1'] 
['48.892031#2.236049#0', '48.891482#2.237907#0'] 
['48.854719#2.305581#1', '48.853456#2.348286#1'] 
['48.854719#2.305581#1', '48.861759#2.335872#1'] 
['48.854719#2.305581#1', '48.859027#2.298116#1'] 
['48.862820#2.305512#1', '48.864371#2.301326#1'] 
['48.862820#2.305512#1', '48.861759#2.335872#1'] 
['48.862820#2.305512#1', '48.859027#2.298116#1'] 
['48.844276#2.323681#1', '48.842032#2.321839#1'] 
['48.872911#2.325769#1', '48.870455#2.327975#1'] 
['48.872911#2.325769#1', '48.873807#2.328576#1'] 
['49.009524#2.546637#1', '48.859027#2.298116#1'] 
['48.842981#2.363443#1', '48.843469#2.359756#1'] 
['48.842981#2.363443#1', '48.858081#2.294634#1'] 
['48.842981#2.363443#1', '48.856714#2.350973#1'] 
['48.842981#2.363443#1', '48.861759#2.335872#1'] 
['48.842981#2.363443#1', '48.859027#2.298116#1'] 
['48.849658#2.349374#1', '48.853456#2.348286#1'] 
['48.855495#2.292541#1', '48.858081#2.294634#1'] 
['48.859027#2.298116#0', '48.855495#2.292541#1'] 
['48.855495#2.292541#1', '48.861759#2.335872#1'] 
['48.855495#2.292541#1', '48.859027#2.298116#1'] 
['48.876138#2.324079#1', '48.875784#2.326546#1'] 
['48.890155#2.338883#0', '48.886968#2.340812#0'] 
['48.890155#2.338883#0', '48.886454#2.343009#0'] 
['48.863178#2.315593#0', '48.863477#2.313458#0'] 
['48.863178#2.315593#0', '48.860281#2.326122#0'] 
['48.863178#2.315593#0', '48.861759#2.335872#0'] 
