['51.526371#-0.154901#1', '51.527667#-0.154129#1'] 
['51.511061#-0.200570#1', '51.513163#-0.202610#1'] 
['51.438253#-0.206429#0', '51.435726#-0.215194#0'] 
['51.438253#-0.206429#0', '51.431280#-0.212063#1'] 
['51.438253#-0.206429#0', '51.433958#-0.213979#1'] 
['51.438253#-0.206429#0', '51.433958#-0.213979#0'] 
['51.438253#-0.206429#0', '51.431280#-0.212063#0'] 
['51.489505#-0.160741#0', '51.490993#-0.159376#0'] 
['51.517365#-0.116541#0', '51.517246#-0.119071#0'] 
['51.479605#-0.168804#1', '51.479196#-0.170512#1'] 
['51.497372#-0.081114#1', '51.499545#-0.081887#1'] 
['51.505637#-0.169382#0', '51.508614#-0.163610#0'] 
['51.503832#-0.089061#0', '51.505554#-0.090585#0'] 
['51.509747#-0.204247#1', '51.515268#-0.204455#1'] 
['51.511061#-0.200570#0', '51.513163#-0.202610#0'] 
['51.568004#-0.102727#0', '51.566288#-0.104392#0'] 
['51.480925#-0.189108#0', '51.481341#-0.191317#0'] 
['51.480925#-0.189108#0', '51.480301#-0.186033#0'] 
['51.554322#-0.165448#1', '51.560248#-0.160788#1'] 
['51.509747#-0.204247#0', '51.515268#-0.204455#0'] 
['51.453367#-0.106254#0', '51.450915#-0.106710#0'] 
['51.498703#-0.072224#0', '51.498998#-0.075654#0'] 
['51.507126#-0.180359#1', '51.508614#-0.163610#1'] 
['51.503832#-0.089061#1', '51.505554#-0.090585#1'] 
['51.510218#-0.159733#0', '51.507734#-0.158052#0'] 
['51.510218#-0.159733#0', '51.507734#-0.158052#1'] 
['51.503546#-0.074150#0', '51.502516#-0.072046#0'] 
['51.503546#-0.074150#0', '51.505179#-0.075614#0'] 
['51.490537#-0.156541#0', '51.490993#-0.159376#0'] 
['51.505637#-0.169382#1', '51.508614#-0.163610#1'] 
['51.529119#-0.126590#1', '51.531282#-0.125373#1'] 
['51.471424#-0.062488#1', '51.470304#-0.067359#1'] 
['51.474833#-0.039445#1', '51.474955#-0.036188#1'] 
['51.528115#-0.071694#1', '51.529309#-0.069539#1'] 
['51.528000#-0.188348#1', '51.532339#-0.177835#1'] 
['51.518812#-0.086012#0', '51.518101#-0.083483#0'] 
['51.537438#-0.034072#0', '51.538408#-0.032192#0'] 
['51.537438#-0.034072#0', '51.536305#-0.036434#0'] 
['51.507216#-0.165740#1', '51.507734#-0.158052#1'] 
['51.510899#-0.175816#0', '51.508614#-0.163610#0'] 
['51.518167#-0.162336#1', '51.516461#-0.164703#1'] 
['51.511960#-0.097265#1', '51.509938#-0.098442#1'] 
['51.511960#-0.097265#1', '51.513763#-0.098992#1'] 
['51.511960#-0.097265#1', '51.507819#-0.099128#1'] 
['51.506255#-0.221745#1', '51.507164#-0.220884#1'] 
['51.499298#-0.159385#0', '51.499833#-0.162802#0'] 
['51.533003#-0.043266#0', '51.562144#0.006446#0'] 
['51.510899#-0.175816#1', '51.508614#-0.163610#1'] 
['51.514923#-0.165682#0', '51.516461#-0.164703#1'] 
['51.514106#-0.118271#1', '51.501667#-0.123074#1'] 
['51.516992#-0.167796#1', '51.519011#-0.167549#1'] 
['51.516992#-0.167796#1', '51.516461#-0.164703#1'] 
['51.502682#-0.109398#0', '51.502202#-0.112323#0'] 
['51.461774#-0.115367#0', '51.462654#-0.112326#0'] 
['51.528115#-0.071694#0', '51.529309#-0.069539#0'] 
['51.510786#-0.080293#1', '51.508300#-0.077523#1'] 
['51.550024#-0.183488#0', '51.556164#-0.177670#0'] 
['51.535221#-0.063592#0', '51.536247#-0.061555#0'] 
['51.538408#-0.032192#0', '51.537438#-0.034072#1'] 
['51.538408#-0.032192#0', '51.536305#-0.036434#1'] 
['51.538408#-0.032192#0', '51.536305#-0.036434#0'] 
['51.506669#-0.171633#0', '51.504530#-0.174661#0'] 
['51.508849#-0.148250#1', '51.510598#-0.150677#1'] 
['51.539323#-0.062446#1', '51.541249#-0.058890#1'] 
['51.522117#-0.151476#1', '51.519998#-0.152216#1'] 
['51.539087#-0.077772#0', '51.539855#-0.076032#0'] 
['51.516785#-0.099255#1', '51.513789#-0.095459#1'] 
['51.516785#-0.099255#1', '51.513763#-0.098992#1'] 
['51.508169#-0.059059#0', '51.525741#-0.149689#0'] 
['51.504914#-0.160005#1', '51.508614#-0.163610#1'] 
['51.506669#-0.171633#1', '51.504530#-0.174661#1'] 
['51.514923#-0.165682#1', '51.516461#-0.164703#1'] 
['51.508849#-0.148250#0', '51.510598#-0.150677#0'] 
['51.506560#-0.124467#1', '51.507643#-0.127659#1'] 
['51.534052#-0.080841#1', '51.530891#-0.081316#1'] 
['51.435726#-0.215194#0', '51.431280#-0.212063#1'] 
['51.435726#-0.215194#0', '51.433958#-0.213979#1'] 
['51.435726#-0.215194#0', '51.433958#-0.213979#0', '51.431280#-0.212063#0'] 
['51.518167#-0.162336#0', '51.520309#-0.164933#0'] 
['51.485252#-0.174162#1', '51.484415#-0.176018#1'] 
['51.534310#-0.108159#0', '51.535043#-0.106141#0'] 
['51.534310#-0.108159#0', '51.532135#-0.106230#0'] 
['51.509647#-0.194193#0', '51.509103#-0.196678#0'] 
['51.539102#-0.142331#1', '51.540009#-0.143803#1'] 
['51.552991#-0.073203#0', '51.553091#-0.074878#0'] 
['51.536696#-0.101096#1', '51.535337#-0.103904#1'] 
['51.461774#-0.115367#1', '51.462654#-0.112326#1'] 
['51.507721#-0.223464#1', '51.507164#-0.220884#1'] 
['51.511960#-0.097265#0', '51.509938#-0.098442#0'] 
['51.511960#-0.097265#0', '51.513763#-0.098992#0'] 
['51.514928#-0.190703#0', '51.513706#-0.188398#0'] 
['51.513628#-0.101640#1', '51.513763#-0.098992#1'] 
['51.522546#-0.091190#0', '51.524393#-0.092771#0'] 
['51.522546#-0.091190#0', '51.525576#-0.089858#0'] 
['51.507135#-0.092715#0', '51.505554#-0.090585#0'] 
['51.514210#-0.104819#0', '51.513763#-0.098992#0'] 
['51.493442#-0.192351#1', '51.491554#-0.193889#1'] 
['51.504590#-0.126760#0', '51.500772#-0.125818#0'] 
['51.504590#-0.126760#0', '51.501667#-0.123074#0'] 
['51.504590#-0.126760#0', '51.507643#-0.127659#0'] 
['51.502682#-0.109398#1', '51.502202#-0.112323#1'] 
['51.511015#-0.197668#1', '51.509103#-0.196678#1'] 
['51.511015#-0.197668#1', '51.515268#-0.204455#1'] 
['51.504590#-0.126760#1', '51.500772#-0.125818#1'] 
['51.504590#-0.126760#1', '51.503207#-0.119502#1'] 
['51.504590#-0.126760#1', '51.501667#-0.123074#1'] 
['51.504590#-0.126760#1', '51.507643#-0.127659#1'] 
['51.511015#-0.197668#0', '51.509103#-0.196678#0'] 
['51.511015#-0.197668#0', '51.515268#-0.204455#0'] 
['51.503546#-0.074150#1', '51.502516#-0.072046#1'] 
['51.503546#-0.074150#1', '51.505179#-0.075614#1'] 
['51.522117#-0.151476#0', '51.519998#-0.152216#0'] 
['51.499298#-0.159385#1', '51.501853#-0.159775#1'] 
['51.499298#-0.159385#1', '51.499833#-0.162802#1'] 
['51.509964#-0.120883#1', '51.512006#-0.122824#1'] 
['51.507721#-0.223464#0', '51.507164#-0.220884#0'] 
['51.519372#-0.158929#0', '51.518802#-0.155473#0'] 
['51.554508#-0.067136#0', '51.542028#-0.075956#0'] 
['51.528725#-0.091619#0', '51.528286#-0.089383#0'] 
['51.510786#-0.080293#0', '51.508300#-0.077523#0'] 
['51.510786#-0.080293#0', '51.511516#-0.083940#0'] 
['51.527667#-0.154129#0', '51.528518#-0.152314#0'] 
['51.527667#-0.154129#0', '51.532231#-0.156680#0'] 
['51.520050#-0.090988#1', '51.519739#-0.093794#1'] 
['51.470604#-0.459234#0', '51.470839#-0.457242#0'] 
['51.525671#-0.099173#1', '51.523952#-0.098075#1'] 
['51.501926#-0.081846#1', '51.499545#-0.081887#1'] 
['51.501169#-0.119737#0', '51.503207#-0.119502#0'] 
['51.501169#-0.119737#0', '51.501667#-0.123074#0'] 
['51.492963#-0.158806#1', '51.492655#-0.156887#1'] 
['51.502516#-0.072046#0', '51.505179#-0.075614#0'] 
['51.522375#-0.159517#1', '51.523290#-0.157859#1'] 
['51.568004#-0.102727#1', '51.562550#-0.100076#1'] 
['51.566288#-0.104392#0', '51.568004#-0.102727#1'] 
['51.568004#-0.102727#1', '51.566288#-0.104392#1'] 
['51.509388#-0.103185#1', '51.507819#-0.099128#1'] 
['51.517432#-0.096550#1', '51.519739#-0.093794#1'] 
